type,type,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,type,type,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate,Time taken for tests,Requests per second,Transfer rate
http-businesscloud,6.337,157.80,35974.58,6.337,157.80,35974.58,6.329,158.01,36022.15,7.207,138.76,31635.08,6.321,158.20,36066.51,6.325,158.10,36042.51,6.453,154.96,35327.89,6.323,158.16,36057.79
http-ecs-support,11.059,90.42,34372.97,11.059,90.42,34372.97,11.057,90.44,34381.24,11.086,90.21,34290.95,11.112,89.99,34209.32,11.052,90.48,34395.85,11.125,89.89,34169.73,11.088,90.19,34283.93
http-ecs,6.348,157.52,35669.08,6.348,157.52,35669.08,6.466,154.65,35018.91,6.700,149.25,33795.64,6.398,156.31,35393.23,7.016,142.54,32275.54,6.677,149.78,33914.47,6.344,157.64,35695.16
http-evs,5.914,169.10,34367.80,5.914,169.10,34367.80,5.886,169.89,34530.20,5.888,169.83,34517.47,5.914,169.09,34367.22,5.888,169.85,34520.94,5.927,168.73,34293.96,5.875,170.20,34592.49
http-index,7.670,130.38,34839.54,7.670,130.38,34839.54,7.679,130.22,34796.65,7.880,126.91,33912.37,7.682,130.17,34784.79,7.677,130.25,34806.32,7.674,130.31,34820.39,7.670,130.39,34841.64
http-product,6.475,154.43,42196.90,6.475,154.43,42196.90,6.503,153.78,42019.45,6.460,154.80,42295.83,6.498,153.90,42052.29,7.965,125.54,34303.14,6.521,153.36,41902.32,6.514,153.51,41943.42
http-promote-one,5.520,181.16,34104.47,5.520,181.16,34104.47,5.559,179.88,33862.36,5.540,180.52,33982.88,6.135,163.01,30686.31,5.864,170.54,32105.08,5.591,178.86,33670.20,6.009,166.41,31326.93
http-promote,7.299,137.01,38972.41,7.299,137.01,38972.41,19.634,50.93,14487.30,7.286,137.24,39038.51,7.309,136.81,38916.02,7.292,137.13,39006.20,7.337,136.29,38768.26,7.290,137.18,39021.80
http-solution,5.918,168.96,33400.19,5.918,168.96,33400.19,5.909,169.24,33455.24,6.566,152.30,30105.35,6.102,163.87,32393.15,5.915,169.07,33421.25,6.375,156.85,31005.77,5.923,168.85,33376.96
http-support,5.295,188.87,32546.89,5.295,188.87,32546.89,4.835,206.85,35645.25,4.837,206.72,35624.30,4.840,206.60,35603.77,4.871,205.30,35379.53,4.864,205.61,35431.61,4.835,206.82,35641.35
http-test0kb,27.316,3660.91,793.67,27.316,3660.91,793.67,27.804,3596.67,779.75,27.250,3669.67,795.57,27.306,3662.15,793.94,27.616,3621.08,785.04,26.926,3713.91,805.16,27.067,3694.49,800.95
http-test10kb,6.509,1536.42,24860.34,6.509,1536.42,24860.34,6.506,1536.96,24868.98,6.767,1477.68,23909.78,6.509,1536.41,24860.07,6.430,1555.26,25165.14,6.507,1536.85,24867.20,6.509,1536.34,24858.94
http-test1kb,3.320,3012.16,6068.44,3.320,3012.16,6068.44,3.189,3135.69,6317.31,3.114,3211.77,6470.59,3.295,3035.19,6114.85,3.373,2964.75,5972.93,2.890,3459.63,6969.94,2.742,3647.09,7347.60
http-test20kb,0.978,1022.69,32844.01,0.978,1022.69,32844.01,1.365,732.58,23526.95,2.133,468.80,15055.66,1.555,643.07,20652.35,1.307,765.40,24580.95,1.837,544.41,17484.00,1.553,643.75,20674.02
http-test2m,63.168,15.83,33570.57,63.168,15.83,33570.57,63.161,15.83,33574.07,63.222,15.82,33541.76,63.168,15.83,33570.44,63.155,15.83,33577.42,63.159,15.83,33575.30,63.163,15.83,33572.99
http-test30kb,2.089,478.68,23000.27,2.089,478.68,23000.27,1.433,697.73,33525.70,2.090,478.51,22992.45,2.108,474.47,22798.21,2.090,478.52,22992.66,1.928,518.76,24926.09,2.136,468.11,22492.37
http-test60kb,3.344,299.06,28666.58,3.344,299.06,28666.58,3.012,331.97,31820.42,3.059,326.90,31334.60,2.879,347.38,33297.84,3.159,316.53,30340.86,2.890,346.06,33171.40,3.153,317.11,30396.71
https-businesscloud,7.638,130.93,29849.27,7.638,130.93,29849.27,7.627,131.12,29892.08,7.602,131.54,29987.91,7.620,131.23,29917.62,7.591,131.74,30034.08,7.597,131.63,30008.00,7.585,131.84,30055.92
https-ecs-support,12.777,78.26,29751.73,12.777,78.26,29751.73,12.781,78.24,29742.02,12.800,78.12,29697.63,12.862,77.75,29554.65,12.760,78.37,29790.99,12.781,78.24,29741.91,12.823,77.99,29646.42
https-ecs,7.860,127.23,28808.56,7.860,127.23,28808.56,7.748,129.06,29223.39,7.703,129.81,29394.38,7.714,129.64,29355.10,7.844,127.48,28865.78,7.704,129.80,29390.59,8.011,124.83,28264.85
https-evs,6.965,143.56,29178.87,6.965,143.56,29178.87,6.944,144.01,29268.79,7.003,142.80,29022.96,6.969,143.50,29165.24,6.935,144.20,29308.25,7.065,141.54,28767.51,6.960,143.67,29200.25
https-index,8.699,114.96,30718.31,8.699,114.96,30718.31,8.694,115.02,30734.29,8.708,114.84,30686.60,8.716,114.73,30656.68,9.540,104.83,28011.74,10.641,93.98,25113.33,8.814,113.46,30318.00
https-product,8.846,113.04,30887.04,8.846,113.04,30887.04,8.686,115.13,31457.62,8.915,112.18,30650.54,8.693,115.03,31430.30,8.718,114.70,31341.56,9.628,103.86,28378.71,8.688,115.10,31449.51
https-promote-one,6.487,154.15,29019.62,6.487,154.15,29019.62,6.444,155.19,29215.50,6.480,154.32,29051.03,6.482,154.27,29041.94,8.945,111.79,21045.37,9.161,109.16,20548.98,6.481,154.29,29046.16
https-promote,9.016,110.91,31547.94,9.016,110.91,31547.94,2.106,474.91,135087.54,8.999,111.12,31608.16,8.976,111.41,31691.46,8.959,111.62,31749.37,9.053,110.46,31419.96,9.003,111.07,31594.06
https-solution,9.240,108.23,21393.50,9.240,108.23,21393.50,6.612,151.23,29895.31,6.648,150.42,29735.31,6.596,151.60,29968.41,9.559,104.61,20678.61,9.105,109.83,21711.38,6.970,143.47,28359.77
https-support,5.835,171.38,29532.96,5.835,171.38,29532.96,5.795,172.55,29734.92,5.799,172.45,29717.48,5.834,171.40,29536.38,5.849,170.96,29460.46,5.894,169.65,29235.78,5.827,171.61,29573.03
https-test0kb,66.084,1513.22,328.06,66.084,1513.22,328.06,70.895,1410.54,305.80,65.595,1524.50,330.51,66.569,1502.20,325.67,65.547,1525.63,330.75,65.726,1521.47,329.85,65.076,1536.67,333.15
https-test10kb,8.548,1169.88,18929.37,8.548,1169.88,18929.37,8.549,1169.79,18927.93,8.543,1170.60,18941.04,9.159,1091.82,17666.45,8.505,1175.79,19025.01,8.550,1169.61,18925.06,8.551,1169.47,18922.74
https-test1kb,7.260,1377.42,2775.02,7.260,1377.42,2775.02,7.226,1383.81,2787.88,6.796,1471.40,2964.35,7.021,1424.30,2869.47,6.800,1470.68,2962.90,6.921,1444.81,2910.78,6.797,1471.15,2963.84
https-test20kb,1.677,596.38,19153.02,1.677,596.38,19153.02,1.696,589.56,18933.85,2.046,488.79,15697.56,1.784,560.59,18003.45,2.026,493.70,15855.26,2.032,492.20,15807.04,2.390,418.49,13440.04
https-test2m,66.451,15.05,31911.98,66.451,15.05,31911.98,66.443,15.05,31915.70,66.455,15.05,31910.07,66.452,15.05,31911.30,66.488,15.04,31894.23,66.453,15.05,31910.92,66.451,15.05,31912.19
https-test30kb,2.094,477.64,22950.52,2.094,477.64,22950.52,2.073,482.28,23173.45,2.275,439.65,21124.89,2.114,472.99,22726.97,2.413,414.39,19911.12,2.276,439.28,21107.27,2.460,406.45,19530.02
https-test60kb,3.046,328.27,31465.91,3.046,328.27,31465.91,4.553,219.62,21051.19,5.782,172.94,16576.82,3.176,314.83,30177.52,5.750,173.92,16671.07,6.639,150.62,14437.92,3.325,300.76,28829.14
